category	name	domain	source
government	Joint Secretariat for the Advisory Bodies on Civil Service and Judicial Salaries and Conditions of Service	jsscs.gov.hk	GovHK directory
government	Coroner's Court	judiciary.hk	GovHK directory
government	Kowloon-Canton Railway Corporation	kcrc.com	GovHK directory
government	Labour Department	labour.gov.hk	GovHK directory
government	Legal Aid Department	lad.gov.hk	GovHK directory
government	Land Registry	landreg.gov.hk	GovHK directory
government	Lands Department	landsd.gov.hk	GovHK directory
government	Legal Aid Services Council	lasc.hk	GovHK directory
government	Leisure and Cultural Services Department	lcsd.gov.hk	GovHK directory
government	Legislative Council	legco.gov.hk	GovHK directory
government	Hong Kong Logistics Development Council	logisticshk.gov.hk	GovHK directory
government	Labour and Welfare Bureau	lwb.gov.hk	GovHK directory
government	Marine Department	mardep.gov.hk	GovHK directory
government	Market Misconduct Tribunal	mmt.gov.hk	GovHK directory
government	Mandatory Provident Fund Schemes Authority	mpfa.org.hk	GovHK directory
government	MTR Corporation	mtr.com.hk	GovHK directory
government	Minimum Wage Commission	mwc.org.hk	GovHK directory
government	Narcotics Division	nd.gov.hk	GovHK directory
government	Insurance, Office of the Commissioner of	oci.gov.hk	GovHK directory
government	Communications Authority, Office of the	ofca.gov.hk	GovHK directory
government	Office of the Government Economist	oge.gov.hk	GovHK directory
government	Office of the Ombudsman	ombudsman.hk	GovHK directory
government	Official Receiver's Office	oro.gov.hk	GovHK directory
government	Occupational Safety and Health Council	oshc.org.hk	GovHK directory
government	Official Solicitor's Office	oso.gov.hk	GovHK directory
government	Office of the Privacy Commissioner for Personal Data	pcpd.org.hk	GovHK directory
government	Planning Department	pland.gov.hk	GovHK directory
government	Auxiliary Police Force, Hong Kong	police.gov.hk	GovHK directory
government	Protocol Division	protocol.gov.hk	GovHK directory
government	Public Service Commission	psc.gov.hk	GovHK directory
government	Quality Education Fund	qef.org.hk	GovHK directory
government	Registration and Electoral Office	reo.gov.hk	GovHK directory
government	Radio Television Hong Kong	rthk.hk	GovHK directory
government	Rating and Valuation Department	rvd.gov.hk	GovHK directory
government	Security and Guarding Services Industry Authority	sb.gov.hk	GovHK directory
government	Secretariat, Commissioner on Interception of Communications and Surveillance	sciocs.gov.hk	GovHK directory
government	Securities and Futures Appeals Tribunal	sfat.gov.hk	GovHK directory
government	Securities and Futures Commission	sfc.hk	GovHK directory
government	Council on Smoking and Health, Hong Kong	smokefree.hk	GovHK directory
government	Social Welfare Department	swd.gov.hk	GovHK directory
government	Transport Complaints Unit, Transport Advisory Committee	tcu.gov.hk	GovHK directory
government	Transport Department	td.gov.hk	GovHK directory
government	Travel Industry Authority	tia.org.hk	GovHK directory
government	Review Body on Bid Challenges	tid.gov.hk	GovHK directory
government	Transport and Logistics Bureau	tlb.gov.hk	GovHK directory
government	Tourism Commission	tourism.gov.hk	GovHK directory
government	The Treasury	try.gov.hk	GovHK directory
government	University Grants Committee	ugc.edu.hk	GovHK directory
government	University Grants Committee Secretariat	ugcs.gov.hk	GovHK directory
government	Urban Renewal Authority	ura.org.hk	GovHK directory
government	Vocational Training Council	vtc.edu.hk	GovHK directory
government	West Kowloon Cultural District	westk.hk	GovHK directory
government	Working Family and Student Financial Assistance Agency	wfsfaa.gov.hk	GovHK directory
government	Women's Commission	women.gov.hk	GovHK directory
government	Water Supplies Department	wsd.gov.hk	GovHK directory
government	Youth Development Commission	ydc.gov.hk	GovHK directory
