category	name	domain	source
education_ipass_higher_diploma	Kaplan Business and Accountancy School	kbas.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Lingnan University - The Community College at Lingnan University	ln.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Hong Kong Nang Yan College of Higher Education	ny.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Pui Ching Academy	pca.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Saint Francis University	sfu.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Sacred Heart Canossian College of Commerce	shccc.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Tung Wah College	twc.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	UOW College Hong Kong	uowchk.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Vocational Training Council	vtc.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Yew Chung College of Early Childhood Education	yccece.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_primary_aided	APLICHAU KAIFONG PRIMARY SCHOOL	akps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	YUEN LONG PUBLIC MIDDLE SCHOOL ALUMNI ASSOCIATION TANG YING YIP PRIMARY SCHOOL	alu.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	THE SALVATION ARMY ANN WYLLIE MEMORIAL SCHOOL	annwyllie.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	ALLIANCE PRIMARY SCHOOL, SHEUNG SHUI	apsss.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	ALLIANCE PRIMARY SCHOOL, TAI HANG TUNG	apstht.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	ALLIANCE PRIMARY SCHOOL, WHAMPOA	apsw.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	ASBURY METHODIST PRIMARY SCHOOL	asbury.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	ABERDEEN ST PETER'S CATHOLIC PRIMARY SCHOOL	aspcps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	BAPTIST LUI MING CHOI PRIMARY SCHOOL	baptist-lmc-primary.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	HHCKLA BUDDHIST CHING KOK LIN ASSOCIATION SCHOOL	bcklas.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	BUDDHIST CHI KING PRIMARY SCHOOL	bckps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	HHCKLA BUDDHIST CHAN SHI WAN PRIMARY SCHOOL	bcsw.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	BUDDHIST CHAN WING KAN MEMORIAL SCHOOL	bcwkms.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	BUDDHIST CHUNG WAH KORNHILL PRIMARY SCHOOL	bcwkps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	BISHOP FORD MEMORIAL SCHOOL	bfordms.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	BISHOP WALSH PRIMARY SCHOOL	bishopwalsh.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	BUDDHIST LAM BING YIM MEMORIAL SCHOOL (SPONSORED BY THE HONG KONG BUDDHIST ASSOCIATION)	blbyms.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	SAHK B M KOTEWALL MEMORIAL SCHOOL (PRIMARY SECTION)	bmkms.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	BISHOP PASCHANG CATHOLIC SCHOOL	bpcs.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	BAPTIST (SHA TIN WAI) LUI MING CHOI PRIMARY SCHOOL	bstwlmc.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	BUI O PUBLIC SCHOOL	buiosch.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	THE CHURCH OF CHRIST IN CHINA BUT SAN PRIMARY SCHOOL	butsan.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	HHCKLA BUDDHIST WONG CHO SUM SCHOOL	bwcss.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	BUDDHIST WONG CHEUK UM PRIMARY SCHOOL	bwcups.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	BUDDHIST WING YAN SCHOOL	bwys.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CHRISTIAN ALLIANCE H.C. CHAN PRIMARY SCHOOL OF THE KOWLOON TONG CHURCH OF THE CHINESE CHRISTIAN AND MISSIONARY ALLIANCE, HONG KONG	cahcc.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CARMEL ALISON LAM PRIMARY SCHOOL	calps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CANOSSA SCHOOL (HONG KONG)	canossahk.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CHRISTIAN ALLIANCE S Y YEH MEMORIAL PRIMARY SCHOOL	casyymps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CHRISTIAN ALLIANCE TOI SHAN H. C. CHAN PRIMARY SCHOOL OF THE KOWLOON TONG CHURCH OF THE CHINESE CHRISTIAN AND MISSIONARY ALLIANCE, HONG KONG	catshcc.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	THE CHURCH OF CHRIST IN CHINA CHEUNG CHAU CHURCH KAM KONG PRIMARY SCHOOL	ccckamkongsch.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	THE CHURCH OF CHRIST IN CHINA KEI WAN PRIMARY SCHOOL (ALDRICH BAY)	ccckeiwan.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	THE CHURCH OF CHRIST IN CHINA KEI SHUN SPECIAL SCHOOL (PRIMARY SECTION)	ccckss.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	THE CHURCH OF CHRIST IN CHINA KEI TSUN PRIMARY SCHOOL	cccktps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	THE CHURCH OF CHRIST IN CHINA, MONGKOK CHURCH KAI OI SCHOOL (PRIMARY SECTION)	cccmkckos.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	THE CHURCH OF CHRIST IN CHINA MONG WONG FAR YOK MEMORIAL PRIMARY SCHOOL	cccmwfys.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	THE CHURCH OF CHRIST IN CHINA TAI O PRIMARY SCHOOL	ccctaiops.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CHING CHUNG HAU PO WOON PRIMARY SCHOOL	cchpwps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	KWOK MAN SCHOOL	cckms.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CHRISTIAN & MISSIONARY ALLIANCE CHUI CHAK LAM MEMORIAL SCHOOL	ccl.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CHAN'S CREATIVE SCHOOL (HONG KONG ISLAND)	ccshki.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CHEUNG CHAU SACRED HEART SCHOOL	ccshs.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CHI HONG PRIMARY SCHOOL	chihong.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CHI LIN BUDDHIST PRIMARY SCHOOL	chilinbps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CHI YUN SCHOOL (PRIMARY SECTION)	chiyun.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
